"sourceid","dstid","year","avg_travel_time"
960,2059,2020,26.5717777777778
960,2061,2016,30.7613571428571
960,2061,2017,31.2245
960,2061,2018,31.7101851851852
960,2061,2019,30.1297916666667
960,2061,2020,28.6354444444444
960,2063,2015,26.3041875
960,2063,2016,25.7921527777778
960,2063,2017,26.0044722222222
960,2063,2018,26.0488333333333
960,2063,2019,26.0097777777778
960,2063,2020,25.3919444444444
960,2064,2016,29.5400833333333
960,2064,2017,30.0933333333333
960,2064,2018,31.4997291666667
960,2064,2019,29.0838055555556
960,2064,2020,26.9731666666667
960,2065,2016,30.6029444444444
960,2065,2017,32.6532121212121
960,2065,2018,33.3645555555556
960,2065,2019,31.2611388888889
960,2065,2020,30.0023333333333
960,2066,2016,30.5322142857143
960,2066,2017,30.6473055555556
960,2066,2018,30.9714074074074
960,2066,2019,29.8918888888889
960,2066,2020,28.6423333333333
960,2067,2016,28.510375
960,2067,2017,29.7535694444444
960,2067,2018,30.6427333333333
960,2067,2019,27.61825
960,2068,2016,35.35475
960,2068,2017,33.7890208333333
960,2068,2018,34.5323055555556
960,2068,2019,33.138375
960,2068,2020,33.6591666666667
960,2069,2016,28.8582916666667
960,2069,2017,29.1291363636364
960,2069,2018,28.9102592592593
960,2069,2019,29.8237121212121
960,2069,2020,26.3218333333333
960,2070,2016,31.0118333333333
960,2070,2017,31.0877037037037
960,2070,2018,29.4971875
960,2070,2019,31.3864285714286
960,2070,2020,30.6683333333333
960,2071,2017,31.9417777777778
960,2071,2018,31.8075
960,2071,2019,30.1333333333333
960,2072,2016,28.4824047619048
960,2072,2017,29.5589583333333
960,2072,2018,29.2476481481481
960,2072,2019,28.469125
960,2072,2020,27.5998888888889
960,2073,2015,24.59225
960,2073,2016,24.0396527777778
960,2073,2017,24.3586388888889
960,2073,2018,24.5787777777778
960,2073,2019,24.6246527777778
960,2073,2020,23.9196666666667
960,2074,2017,30.2924583333333
960,2074,2018,30.2788571428571
960,2074,2019,30.3548333333333
960,2074,2020,33.2014166666667
960,2075,2017,29.8069074074074
960,2075,2018,28.5194583333333
960,2075,2019,28.3740833333333
960,2076,2015,23.8649791666667
960,2076,2016,23.1514444444444
960,2076,2017,23.4918888888889
960,2076,2018,23.7241851851852
960,2076,2019,23.7350138888889
960,2076,2020,23.0197222222222
960,2077,2016,28.0376666666667
960,2077,2017,29.8674285714286
960,2077,2018,29.268125
960,2077,2019,29.0452777777778
960,2077,2020,27.4618333333333
960,2078,2016,29.7693333333333
960,2078,2017,30.5171833333333
960,2078,2018,29.5290833333333
960,2078,2019,30.7431166666667
960,2078,2020,29.7005555555556
960,2079,2016,25.7255166666667
960,2079,2017,26.1029444444444
960,2079,2018,26.4837962962963
960,2079,2019,25.2925694444444
960,2079,2020,24.5497222222222
960,2080,2016,27.4776904761905
960,2080,2017,27.7591111111111
960,2080,2018,27.8628148148148
960,2080,2019,26.5888472222222
960,2080,2020,25.8768888888889
960,2081,2017,29.5493888888889
960,2081,2018,29.8406666666667
960,2081,2019,28.03
960,2081,2020,27.8535
960,2082,2016,33.2614666666667
960,2082,2017,33.7311805555556
960,2082,2018,33.4091296296296
960,2082,2019,32.9655833333333
960,2082,2020,31.3248888888889
960,2083,2016,31.1620416666667
960,2083,2017,32.1826805555556
960,2083,2018,31.9099444444444
960,2083,2019,32.2475303030303
960,2083,2020,29.794
960,2084,2019,34.189
960,2085,2015,17.7235
960,2085,2016,17.40445
960,2085,2017,18.2911388888889
960,2085,2018,17.8074814814815
960,2085,2019,17.8193194444444
960,2085,2020,17.1761111111111
960,2087,2015,29.346119047619
960,2087,2016,28.8671527777778
960,2087,2017,28.9019166666667
960,2087,2018,28.9490555555556
960,2087,2019,28.7227222222222
960,2087,2020,28.2326666666667
960,2088,2017,32.9851666666667
960,2088,2018,32.2328888888889
960,2088,2019,32.7954583333333
960,2089,2015,27.4528888888889
960,2089,2016,26.9830606060606
960,2089,2017,27.2543888888889
960,2089,2018,27.1991296296296
960,2089,2019,26.8577361111111
960,2089,2020,27.0662777777778
960,2090,2015,29.9020277777778
960,2090,2016,29.647625
960,2090,2017,29.7224722222222
960,2090,2018,29.8598888888889
960,2090,2019,29.5610416666667
960,2090,2020,29.0818888888889
960,2091,2015,14.8488611111111
960,2091,2016,14.1630416666667
960,2091,2017,14.6209027777778
960,2091,2018,14.5532777777778
960,2091,2019,14.6143333333333
960,2091,2020,14.4605555555556
960,2092,2015,30.507
960,2092,2016,29.3247833333333
960,2092,2017,29.19375
960,2092,2018,29.300962962963
960,2092,2019,28.7770972222222
960,2092,2020,28.2923333333333
960,2093,2015,12.3104305555556
960,2093,2016,12.4796527777778
960,2093,2017,12.9526111111111
960,2093,2018,12.8716296296296
960,2093,2019,12.9899305555556
960,2093,2020,12.8856111111111
960,2094,2015,28.277
960,2094,2016,29.1631944444444
960,2094,2017,29.8669027777778
960,2094,2018,29.3110925925926
960,2094,2019,30.5965416666667
960,2094,2020,30.2801666666667
960,2095,2016,31.9690833333333
960,2095,2017,31.8227638888889
960,2095,2018,32.1688888888889
960,2095,2019,32.209625
960,2095,2020,31.4213888888889
960,2096,2016,36.9868333333333
960,2096,2017,34.1475909090909
960,2096,2018,33.5154814814815
960,2096,2019,33.8160416666667
960,2096,2020,33.887
960,2097,2015,27.1854583333333
960,2097,2016,26.3473333333333
960,2097,2017,26.59475
960,2097,2018,26.5929074074074
